dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_ablation,gpt-5.4,0.6814843448009277,0.7152129817444219,0.6979414093428346,0.6795252225519288,0.6591282894736842,0.6691713629722397,0.7811890838206628,0.8108244815376834,0.7957309506080914,837,926,1763
wikihow,nl2p_1_ablation,gpt-5.4,0.6086439333862014,0.7161184977839982,0.6580216482692102,0.6633589679980154,0.5436064240699329,0.5975418994413408,0.7155472303987156,0.7737268518518519,0.7435006256082302,1099,1971,3070
win2k,nl2p_1_ablation,gpt-5.4,0.9544025157232704,0.9169184290030211,0.9352850539291216,0.7875197472353871,0.5219895287958115,0.6278337531486147,0.8178835110746514,0.8669565217391304,0.8417053609117772,500,714,1214
