dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,gpt3_to_plan,gpt-5.4,0.8182533438237608,0.8407437348423605,0.8293460925039872,0.6279135074417298,0.7649674991447143,0.6896977174583591,0.7224555735056543,0.8412340105342363,0.7773335650964714,1027,1053,2080
wikihow,gpt3_to_plan,gpt-5.4,0.7295156179266636,0.7659220532319392,0.7472756781822397,0.5797101449275363,0.6549797726834906,0.6150506512301013,0.6474957151018853,0.7755474452554745,0.7057602490918525,1312,1911,3223
win2k,gpt3_to_plan,gpt-5.4,0.8251001335113485,0.927231807951988,0.8731896856234546,0.5533460803059274,0.7652035959809624,0.6422547714158899,0.5737509912767644,0.7804746494066882,0.6613345521023767,729,507,1236
