dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,gpt3_to_plan,llama3-70b,0.8381877022653722,0.6395061728395062,0.7254901960784315,0.6804733727810651,0.6937354988399071,0.6870404411764707,0.7612016293279023,0.7931034482758621,0.7768251493894518,784,770,1554
wikihow,gpt3_to_plan,llama3-70b,0.7497840483731644,0.6348122866894198,0.6875247524752476,0.509518023491292,0.5981930575368521,0.5503062117235346,0.5631154879140555,0.72361230946218,0.6333543108873505,836,1768,2604
win2k,gpt3_to_plan,llama3-70b,0.8491620111731844,0.9115442278860569,0.8792480115690529,0.6430089247768805,0.8099571734475375,0.716891731817105,0.6647627416520211,0.8294956140350878,0.7380487804878049,800,416,1216
