dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_ablation,gemma3-12b,0.6900384779820437,0.6609336609336609,0.6751725580422505,0.6579062636881297,0.6581945661700263,0.658050383351588,0.7316122747199221,0.7888655462184874,0.7591609805408137,751,863,1614
wikihow,nl2p_1_ablation,gemma3-12b,0.5213656860639897,0.5793366738248628,0.5488245931283905,0.6681063122923588,0.5141907440552288,0.5811298945239127,0.7016748080949058,0.7131205673758865,0.7073513893774181,971,1457,2428
win2k,nl2p_1_ablation,gemma3-12b,0.9498725573491928,0.8368263473053892,0.8897731794667727,0.705161854768154,0.47947650208209397,0.5708215297450425,0.7107583774250441,0.7442289935364728,0.7271087054578259,417,701,1118
