dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_coref,llama3-70b,0.7610132158590308,0.5715467328370554,0.6528105810108644,0.6244583533943188,0.657707910750507,0.6406520128426773,0.7087431693989071,0.8172652804032766,0.7591454492244658,548,834,1382
wikihow,nl2p_1_coref,llama3-70b,0.7036750483558994,0.4530510585305106,0.5512121212121212,0.5136202131859455,0.4504847645429363,0.4799852425751706,0.5466386554621848,0.6637755102040817,0.5995391705069123,442,1377,1819
win2k,nl2p_1_coref,llama3-70b,0.9692712906057945,0.8306997742663657,0.8946515397082656,0.7205750224618149,0.47653000594177064,0.5736766809728183,0.7251356238698011,0.7495327102803738,0.7371323529411765,404,700,1104
