dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1,gpt-5.4-mini,0.7251321480057664,0.6181892666939779,0.6674038036267138,0.6032843560933449,0.6547842401500938,0.6279802069275754,0.691431401684002,0.8154205607476636,0.7483248458858214,574,935,1509
wikihow,nl2p_1,gpt-5.4-mini,0.5567190226876091,0.5356200527704486,0.5459657701711492,0.5729549248747913,0.4748201438848921,0.5192918747162959,0.6163793103448276,0.6820349761526232,0.6475471698113208,644,1589,2233
win2k,nl2p_1,gpt-5.4-mini,0.9859649122807017,0.8706429124709527,0.9247223364870423,0.7853356890459364,0.4944382647385984,0.6068259385665529,0.8009009009009009,0.8089171974522293,0.8048890900860118,426,698,1124
