dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1,gemma3-27b,0.9199209095402867,0.7595918367346939,0.8321037335121843,0.7285774588433939,0.6555260159513863,0.6901239504198321,0.7998146431881371,0.7957584140156754,0.797781372775595,964,897,1861
wikihow,nl2p_1,gemma3-27b,0.8382180539273154,0.6835564053537285,0.7530279094260137,0.7077652637818613,0.5234546251644016,0.6018145161290323,0.7395478476308455,0.7216681776971895,0.7304986234322423,1147,1713,2860
win2k,nl2p_1,gemma3-27b,0.9523411371237458,0.853183520599251,0.9000395100750692,0.8636763412489006,0.5659942363112392,0.6838440111420613,0.8690265486725663,0.8728888888888889,0.8709534368070954,534,605,1139
