dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,gpt3_to_plan,gemma3-27b,0.8385093167701864,0.8221680876979294,0.8302583025830259,0.7362914862914863,0.7111498257839721,0.7235023041474655,0.7807957153787299,0.8173808570284341,0.7986695362942673,1190,835,2025
wikihow,gpt3_to_plan,gemma3-27b,0.6893530997304582,0.7301927194860813,0.7091854419410745,0.6957631444614599,0.5536149471974005,0.6166025786021262,0.7294621354027294,0.7194510424914226,0.7244220037204357,1356,1713,3069
win2k,gpt3_to_plan,gemma3-27b,0.9241531664212077,0.9414853713428357,0.9327387588257153,0.6695501730103807,0.8125984251968504,0.7341712117619161,0.6889185580774366,0.834051724137931,0.7545698269558859,866,389,1255
