dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1
cooking,nl2p_1_coref,gemma3-12b,0.8690265486725663,0.8042588042588042,0.8353891960867715,0.6600604635539133,0.7158469945355191,0.6868227892345334
wikihow,nl2p_1_coref,gemma3-12b,0.7653673163418291,0.7403915881073242,0.7526723184666421,0.7372549019607844,0.6214876033057851,0.6744394618834081
win2k,nl2p_1_coref,gemma3-12b,0.9643167972149695,0.8287210172026926,0.8913917940466612,0.7933450087565674,0.546112115732369,0.6469118172081401
