dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,gpt3_to_plan,gemma3-12b,0.645304312777106,0.6556101556101556,0.6504164127564492,0.7155090390104663,0.6699331848552339,0.6919714745801704,0.7626774847870182,0.786199686356508,0.7742599742599743,886,715,1601
wikihow,gpt3_to_plan,gemma3-12b,0.5852437417654809,0.5405208079824775,0.561993927125506,0.7019635343618513,0.5558023320377568,0.6203904555314533,0.7392909896602659,0.729060451565914,0.7341400806747341,1008,1213,2221
win2k,gpt3_to_plan,gemma3-12b,0.9474921630094044,0.9193916349809886,0.9332304129679662,0.7643282897753324,0.9045035268583831,0.8285288270377733,0.7804307116104869,0.9174463401210787,0.843410068302555,931,278,1209
