dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_coref,gemma3-27b,0.9166666666666666,0.7590853409554921,0.8304668304668306,0.7591271506504407,0.6847085541256623,0.72,0.8237704918032787,0.8290559120073328,0.8264047510278667,996,863,1859
wikihow,nl2p_1_coref,gemma3-27b,0.8374125874125874,0.6859188544152744,0.7541327735502492,0.741296518607443,0.5404814004376368,0.6251581878005569,0.7713928794503435,0.7541984732824427,0.7626987802995214,1204,1670,2874
win2k,nl2p_1_coref,gemma3-27b,0.9547738693467337,0.8539325842696629,0.9015421115065244,0.8640350877192983,0.5677233429394812,0.6852173913043478,0.8686067019400353,0.8740017746228926,0.871295886775763,536,604,1140
