dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1,gemma3-12b,0.6905850091407678,0.6197703035274815,0.6532641591007349,0.636773321315908,0.6605890603085554,0.648462597521799,0.7165314401622718,0.8019296254256527,0.7568291376539904,673,838,1511
wikihow,nl2p_1,gemma3-12b,0.5622349713145423,0.543918918918919,0.5529253035692384,0.6270140555365101,0.5024725274725275,0.5578770779319812,0.6605272661610689,0.6930655551345206,0.676405325443787,829,1425,2254
win2k,nl2p_1,gemma3-12b,0.9488054607508533,0.831712789827973,0.8864089278597049,0.6957671957671958,0.47076372315035797,0.5615658362989323,0.7007104795737122,0.7366946778711485,0.7182521620391443,397,715,1112
