dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1,llama3-70b,0.7731326644370122,0.5740894039735099,0.6589073634204275,0.627730294396961,0.6744897959183673,0.6502705361534679,0.7204359673024523,0.8283208020050126,0.7706208102593995,554,833,1387
wikihow,nl2p_1,llama3-70b,0.7333333333333333,0.4489233850776164,0.5569187762074856,0.5271885846509834,0.4713793103448276,0.4977243764791553,0.5620888157894737,0.6859006522829905,0.6178531073446327,434,1359,1793
win2k,nl2p_1,llama3-70b,0.9643167972149695,0.8330827067669173,0.8939088342073418,0.7132551848512173,0.46915776986951363,0.5660107334525939,0.7217153284671532,0.7399438727782974,0.7307159353348731,394,714,1108
