dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,naruto,naruto,0.5093457943925234,0.6598062953995157,0.5748945147679325,0.290084388185654,0.4845814977973568,0.3629165291982844,0.2913135593220339,0.6296508299942759,0.39833423863842116,168,1467,1635
wikihow,naruto,naruto,0.3929257977700884,0.716187806587246,0.5074478649453823,0.29681717246484085,0.4184930077228136,0.3473064264680409,0.2980083234244946,0.5592747559274756,0.38882963250266656,319,2747,3066
win2k,naruto,naruto,0.7101226993865031,0.695717505634861,0.7028462998102467,0.3441269841269841,0.4029739776951673,0.3712328767123288,0.3452229299363057,0.5371655104063429,0.42031795269484296,133,793,926
