dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_coref,gpt-5.4-mini,0.714218009478673,0.6173699303564113,0.6622720281256866,0.6057118499573743,0.6683913452492944,0.635509838998211,0.687137330754352,0.8213872832369942,0.7482885729331228,577,930,1507
wikihow,nl2p_1_coref,gpt-5.4-mini,0.5694514343231002,0.5425557420282906,0.5556783302639656,0.5854126679462572,0.4997269251774986,0.5391868002357101,0.6239345380156835,0.7199055861526357,0.6684931506849313,660,1603,2263
win2k,nl2p_1_coref,gpt-5.4-mini,0.9834205933682374,0.875,0.9260476581758423,0.7835232252410167,0.494195688225539,0.6061016949152542,0.7967914438502673,0.8097826086956522,0.8032345013477089,434,693,1127
