dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_ablation,llama3-70b,0.7658128593831678,0.6031288596130094,0.6748042376784891,0.6503656307129799,0.6854527938342967,0.6674484052532833,0.7338834450747808,0.836075205640423,0.7816533919252953,628,837,1465
wikihow,nl2p_1_ablation,llama3-70b,0.6995468804461484,0.49421324796848065,0.5792207792207792,0.5281445448227936,0.46928064217351034,0.4969756416544057,0.5665300037271711,0.6953339432753889,0.6243581844321217,484,1523,2007
win2k,nl2p_1_ablation,llama3-70b,0.9438297872340425,0.8369811320754716,0.8872,0.7080689029918404,0.46049528301886794,0.5580564487316899,0.7285447761194029,0.707427536231884,0.7178308823529411,397,712,1109
