dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_ablation,gpt-5.4-mini,0.6877133105802048,0.6558177379983726,0.6713869221157851,0.6692991115498519,0.6061689763075547,0.6361717100633356,0.7325769854132901,0.7748571428571429,0.753124132185504,748,864,1612
wikihow,nl2p_1_ablation,gpt-5.4-mini,0.5566693944353519,0.6444812884888679,0.5973655323819979,0.6588010204081632,0.4758175955780746,0.5525541588660069,0.6843325604504803,0.701766304347826,0.6929397954049975,983,1738,2721
win2k,nl2p_1_ablation,gpt-5.4-mini,0.9743370402053037,0.8761538461538462,0.9226407452409883,0.7948051948051948,0.5085872576177285,0.6202702702702704,0.8131089459698848,0.8285198555956679,0.8207420652659811,459,680,1139
