dataset,solver,model,Precision,Recall,F1,Object Precision,Object Recall,Object F1,adjusted_precision,adjusted_recall,adjusted_f1,perfect_action_argument_matches,argument_mismatch_actions,matched_action_events
cooking,nl2p_1_ablation,gemma3-27b,0.9050661798265632,0.8060975609756098,0.852719845194582,0.707405908539053,0.6303642264695276,0.6666666666666666,0.7992684042066758,0.7623201046663759,0.7803571428571427,909,1074,1983
wikihow,nl2p_1_ablation,gemma3-27b,0.8166708637622765,0.7686655605593743,0.7919413919413919,0.7035338548691664,0.5020211742059673,0.5859357447764546,0.7428083167188835,0.6936170212765957,0.7173703754641727,1222,2021,3243
win2k,nl2p_1_ablation,gemma3-27b,0.9685690653432589,0.8745332337565347,0.9191522762951335,0.8784810126582279,0.588135593220339,0.7045685279187818,0.9083769633507853,0.910761154855643,0.90956749672346,556,615,1171
